Periodo,Esparrago,Maiz amarillo duro,Palta,Uva,Temperatura,Precipitacion,Humedad,IS_esparrago,IS_Maiz amarillo duro,IS_palta,IS_Uva
1/01/2001,8674.00,6604.00,699.00,3757.00,21.50,0.40,75.40,8529.00,5486.00,1688.00,1917.00
1/02/2001,7448.40,7475.00,792.00,3969.00,23.80,1.30,76.10,8319.00,8848.00,1688.00,1917.00
1/03/2001,7564.50,8018.00,1702.00,3999.00,23.50,1.30,76.00,7889.00,11662.50,1688.00,1917.00
1/04/2001,7023.00,3718.00,1371.00,4185.00,21.40,0.87,74.30,7727.00,14171.50,1688.00,1932.00
1/05/2001,5683.00,7883.00,1507.00,3476.00,18.10,0.20,73.70,7462.00,15580.00,1688.00,1932.00
1/06/2001,5216.00,30639.00,1894.00,3842.00,15.60,0.20,78.60,7352.00,14895.00,1688.00,1907.00
1/07/2001,6602.00,26716.00,859.00,3411.00,16.60,0.20,78.40,7004.00,13626.00,1688.00,1907.00
1/08/2001,7147.00,14513.00,788.00,3171.00,16.40,0.20,80.20,7000.00,12347.00,1688.00,1934.00
1/09/2001,6575.00,7207.00,1485.00,3298.00,16.20,0.35,78.70,6997.00,11961.50,1688.00,1934.00
1/10/2001,7191.00,23540.00,544.00,3003.00,20.30,0.00,77.70,6997.00,9596.50,1688.00,1934.00
1/11/2001,7237.00,25554.00,543.00,3133.00,20.40,1.97,77.90,6997.00,6952.50,1680.00,1954.00
1/12/2001,7944.00,18845.50,573.00,3279.00,22.00,0.00,74.60,6997.00,5931.00,1680.00,1954.00
1/01/2002,9042.00,7347.00,756.00,3873.90,23.60,2.30,76.11,6917.00,6221.00,1680.00,1968.00
1/02/2002,7796.00,5850.00,853.00,4104.70,24.60,2.40,73.34,6917.00,7026.00,1680.00,1971.50
1/03/2002,7966.00,4980.00,2189.00,4022.20,23.70,3.13,72.79,6900.00,11586.00,1691.50,1974.50
1/04/2002,7253.00,4636.50,1770.00,4299.00,21.50,0.65,76.26,6914.00,14475.50,1691.50,1978.50
1/05/2002,7056.00,6697.00,1975.00,3561.00,19.80,0.00,79.48,6760.00,15965.50,1691.50,1978.50
1/06/2002,5574.00,20087.00,2705.00,3953.40,20.70,0.30,75.66,6715.00,17061.50,1691.50,1978.50
1/07/2002,7049.00,32934.00,1053.00,3526.00,18.10,0.20,77.30,6714.00,15197.00,1691.50,1978.50
1/08/2002,7059.00,26738.00,996.00,3295.00,17.80,0.00,78.23,6717.00,12657.00,1702.50,1978.50
1/09/2002,6738.00,15735.00,993.00,3395.00,18.10,0.00,78.80,6717.00,11524.50,1711.50,1978.50
1/10/2002,6906.50,22859.00,761.00,2908.00,18.90,0.00,75.53,6719.00,9880.50,1711.50,1958.50
1/11/2002,7463.00,26212.00,691.00,3268.00,19.90,1.20,73.93,6719.00,7881.50,1714.50,1962.50
1/12/2002,6110.00,12992.00,736.00,3415.00,21.70,0.00,74.78,6814.00,8088.00,1717.50,1962.50
1/01/2003,9101.00,5464.00,812.00,3849.00,23.20,0.03,71.65,6717.00,12657.00,1702.50,1978.50
1/02/2003,8526.00,8829.00,935.00,4319.00,24.30,0.45,72.72,6717.00,11524.50,1711.50,1978.50
1/03/2003,8644.00,11433.00,2296.00,4090.00,24.10,0.08,69.84,6719.00,9880.50,1711.50,1958.50
1/04/2003,8023.00,10161.50,1973.00,4367.00,22.30,0.05,73.77,6719.00,7881.50,1714.50,1962.50
1/05/2003,7238.50,14129.00,2191.00,3632.00,19.60,0.25,77.80,6814.00,8088.00,1717.50,1962.50
1/06/2003,6849.50,21746.00,3538.00,4008.00,17.80,0.03,79.15,7085.68,10185.00,1717.50,1958.00
1/07/2003,7316.00,27529.50,1200.00,3607.50,18.20,0.00,78.15,7205.68,11392.00,1720.50,1958.00
1/08/2003,7179.50,24882.00,1142.50,3420.00,17.50,0.02,77.09,7203.68,12995.00,1720.50,1961.00
